,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Vilyuysk,RU,63.7553,121.6247,-18.6,97,100,2.44,overcast clouds
314,Hualmay,PE,-11.0964,-77.6139,71.26,85,100,5.86,overcast clouds
315,Develi,TR,38.3906,35.4922,25.95,95,100,1.34,light snow
316,Denpasar,ID,-8.65,115.2167,80.26,88,75,20.71,moderate rain
317,Hohhot,CN,40.8106,111.6522,32.29,29,0,4.47,clear sky
318,Weinan,CN,34.5036,109.5089,52.36,23,0,9.55,clear sky
319,Niono,ML,14.2526,-5.993,61.92,14,17,10.71,few clouds
320,Mwinilunga,ZM,-11.7358,24.4293,68.13,89,100,2.62,moderate rain
321,Zastron,ZA,-30.3023,27.084,70.93,43,0,3.91,clear sky
322,Tuatapere,NZ,-46.1333,167.6833,73.72,68,89,1.25,overcast clouds
323,Megion,RU,61.0296,76.1136,8.62,93,23,5.91,few clouds
324,Esna,EG,25.2934,32.554,53.62,33,97,12.59,overcast clouds
325,Roald,NO,62.5833,6.1333,38.08,55,0,11.5,clear sky
326,Kahului,US,20.8947,-156.47,76.84,80,98,5.01,overcast clouds
327,Zelenoborskiy,RU,66.845,32.3622,-0.63,98,90,5.06,overcast clouds
328,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.23,96,100,0.83,overcast clouds
329,Anaco,VE,9.4389,-64.4728,74.46,72,98,9.66,overcast clouds
330,Guider,CM,9.9342,13.9486,78.53,17,84,4.83,broken clouds
331,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.28,88,100,14.94,overcast clouds
332,Port Hardy,CA,50.6996,-127.4199,41.18,100,75,3.44,broken clouds
333,Alexandria,EG,31.2156,29.9553,52.34,56,37,17.34,scattered clouds
334,Keningau,MY,5.3378,116.1602,85.23,59,100,4.25,overcast clouds
335,Ust-Kuyga,RU,70.0167,135.6,-30.73,98,100,2.77,overcast clouds
336,Beringovskiy,RU,63.05,179.3167,-14.76,97,100,13.8,overcast clouds
337,Esqueda,MX,30.7167,-109.5833,50.83,32,85,4.23,overcast clouds
338,Kruisfontein,ZA,-34.0033,24.7314,78.89,62,23,11.86,few clouds
339,Bafoulabe,ML,13.8065,-10.8321,69.93,14,13,4.05,few clouds
340,Bandarbeyla,SO,9.4942,50.8122,78.06,56,1,19.17,clear sky
341,Whitehorse,CA,60.7161,-135.0538,11.8,78,100,3.44,overcast clouds
342,Alice Springs,AU,-23.7,133.8833,80.15,28,0,12.66,clear sky
343,Belyy Yar,RU,53.6039,91.3903,2.86,84,96,2.24,mist
344,Paradise,US,36.0972,-115.1467,52.32,44,75,7.0,broken clouds
345,Grand Gaube,MU,-20.0064,57.6608,85.37,71,45,8.99,scattered clouds
346,Kudahuvadhoo,MV,2.6708,72.8944,79.77,70,54,11.1,broken clouds
347,Barcelos,PT,41.5388,-8.6151,43.68,65,0,4.14,clear sky
