City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
226,Iquique,CL,73.44,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
227,Sao Jose Da Coroa Grande,BR,77.13,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
228,Noumea,NC,87.78,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
237,Rurrenabaque,BO,71.2,overcast clouds,-14.4413,-67.5278,Casa de Campo
242,Nisia Floresta,BR,77.38,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
245,Lorengau,PG,82.38,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
248,Kuching,MY,88.02,scattered clouds,1.55,110.3333,Hilton Kuching
253,Carnot,CF,80.4,scattered clouds,4.9409,15.8665,
255,Progreso,MX,72.1,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
256,Mahebourg,MU,84.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
257,Hervey Bay,AU,85.01,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
261,Jijiga,ET,74.16,few clouds,9.35,42.8,RAMAAS HOTEL
262,Simplicio Mendes,BR,71.04,overcast clouds,-7.8539,-41.9103,Praça Dr.ª Ana Maria e Espaço Dr.ªAlice Coelho
263,Manasa,IN,77.49,clear sky,24.4837,75.2687,Sameer patel
264,Santa Cruz,BO,71.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
265,Faanui,PF,81.68,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
268,Keti Bandar,PK,76.44,clear sky,24.1447,67.4497,Haji laloo memon house
272,Kapoeta,SS,86.29,broken clouds,4.7717,33.5903,Lokoges PHCC
273,Soe,ID,71.24,light rain,-9.8607,124.284,Dena Hotel
275,Mayumba,GA,77.61,overcast clouds,-3.432,10.6554,LIKWALE LODGE
276,Vao,NC,80.44,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
277,Bolobo,CD,77.7,overcast clouds,-2.1667,16.2333,Hotel de Stephen
278,Poum,NC,83.03,light rain,-20.2333,164.0167,
282,Narasannapeta,IN,85.82,clear sky,18.4167,84.05,AVK events and catering
284,Kaithal,IN,72.95,clear sky,29.8,76.3833,Koel Complex
287,Alofi,NU,75.09,moderate rain,-19.0595,-169.9187,Taloa Heights
291,Harper,LR,77.92,light rain,4.375,-7.7169,Screensaver
293,Bonthe,SL,75.88,light rain,7.5264,-12.505,Bonthe Holiday Village
303,Swan Hill,AU,75.34,clear sky,-35.3378,143.5544,Lazy River Motor Inn
304,Saint-Pierre,RE,83.88,light rain,-21.3393,55.4781,Alize Plage
309,Okahandja,,72.82,light rain,-21.9833,16.9167,Sylvanette Guesthouse
312,Antofagasta,CL,70.88,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
314,Hualmay,PE,71.26,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
316,Denpasar,ID,80.26,moderate rain,-8.65,115.2167,OYO 3156 Hotel Warta Dua
321,Zastron,ZA,70.93,clear sky,-30.3023,27.084,Highlands Guest House
322,Tuatapere,NZ,73.72,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
326,Kahului,US,76.84,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
328,Sao Felix Do Xingu,BR,70.23,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
329,Anaco,VE,74.46,overcast clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
330,Guider,CM,78.53,broken clouds,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
331,Sao Joao Da Barra,BR,74.28,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
334,Keningau,MY,85.23,overcast clouds,5.3378,116.1602,Sabindo Hotel
338,Kruisfontein,ZA,78.89,few clouds,-34.0033,24.7314,Oyster Bay House Rental
340,Bandarbeyla,SO,78.06,clear sky,9.4942,50.8122,JABIR HOTEL
342,Alice Springs,AU,80.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
345,Grand Gaube,MU,85.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
346,Kudahuvadhoo,MV,79.77,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
348,Campoverde,PE,70.52,moderate rain,-8.4753,-74.8058,Hospedaje Coral's
349,Nuqui,CO,75.65,light rain,5.7125,-77.2708,Hotel Nuquimar
350,Nicoya,CR,74.84,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
351,Tautira,PF,80.42,light rain,-17.7333,-149.15,Pension Oaoa
353,Isangel,VU,83.08,overcast clouds,-19.55,169.2667,Tanna Lodge
354,Yulara,AU,84.34,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
358,Esperance,AU,78.03,clear sky,-33.8667,121.9,Hospitality Esperance
359,Ende,ID,80.38,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
362,Belmonte,BR,76.23,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
365,Panzhihua,CN,74.88,clear sky,26.5851,101.7128,Electric Power Hotel
368,Chandur Bazar,IN,82.99,clear sky,21.2417,77.7456,Roshan Nandrekar
377,Moerai,PF,79.9,light rain,-22.4333,-151.3333,Le Manotel
379,Luganville,VU,84.04,few clouds,-15.5333,167.1667,The Espiritu Hotel
380,Moranbah,AU,81.95,overcast clouds,-22.0016,148.0466,Property Vine - Monterey Moranbah
381,Itarema,BR,76.75,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
382,Broken Hill,AU,74.66,clear sky,-31.95,141.4333,Royal Exchange Hotel
383,Gunnedah,AU,81.45,clear sky,-30.9833,150.25,Gunnedah Motor Inn
387,San-Pedro,CI,75.63,few clouds,4.7485,-6.6363,Hotel Maria
388,Tuy Hoa,VN,78.04,overcast clouds,13.0833,109.3,Hotel Sài Gòn-Phú Yên
389,Davila,PH,85.98,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
392,Fomboni,KM,81.86,light rain,-12.28,43.7425,Auberge les abou
393,San Policarpo,PH,79.7,scattered clouds,12.1791,125.5072,Agapita M. Nicart
394,Coreau,BR,70.79,overcast clouds,-3.5333,-40.6567,LOJA E POUSADA CARCARÁ
398,Batemans Bay,AU,72.1,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
401,Omboue,GA,79.93,moderate rain,-1.5746,9.2618,Hotel Olako
402,Along,IN,81.28,clear sky,28.1667,94.7667,Hotel West
414,Sawakin,SD,72.95,scattered clouds,19.1059,37.3321,كورنيش سواكن Sawakin Beach
415,Yeppoon,AU,87.58,overcast clouds,-23.1333,150.7333,Villa Mar Colina
416,Takoradi,GH,79.12,overcast clouds,4.8845,-1.7554,Raybow International Hotel
417,Qui Nhon,VN,77.07,overcast clouds,13.7667,109.2333,Seagull Hotel
422,Samarai,PG,83.91,light rain,-10.6167,150.6667,Nuli Sapi
424,Namatanai,PG,81.84,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
425,Maryborough,AU,85.1,overcast clouds,-25.5333,152.7,Blue Shades Motel
427,Bara,NG,75.54,overcast clouds,10.3744,10.7288,
437,Amapa,BR,70.93,overcast clouds,1.0,-52.0,
438,Port Macquarie,AU,79.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
439,Entre Rios,BR,71.28,clear sky,-11.9419,-38.0844,Motel Diamante
444,Namibe,AO,72.95,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
446,Ambovombe,MG,82.74,broken clouds,-25.1667,46.0833,RELAHARA
447,Chau Doc,VN,89.64,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
451,Pinheiro,BR,73.44,overcast clouds,-2.5214,-45.0825,Solares Hotel
453,Santa Isabel,BR,70.9,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
454,Port Blair,IN,86.04,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
464,Gigmoto,PH,77.92,overcast clouds,13.7796,124.39,Cj's Travellers Inn
465,Tutoia,BR,76.93,scattered clouds,-2.7619,-42.2744,Pousada Guará's
466,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
467,Pilar,BR,71.53,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
469,Port-Gentil,GA,75.16,moderate rain,-0.7193,8.7815,Fengshui Residence
470,Mocuba,MZ,87.39,clear sky,-16.8392,36.9856,Phama Lodge
471,Jaisalmer,IN,78.69,clear sky,26.9147,70.9181,Hotel Fifu
475,Khorixas,,73.0,overcast clouds,-20.3667,14.9667,Khorixas Lodge
479,Bubaque,GW,76.39,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
482,Kanigoro,ID,77.36,moderate rain,-8.13,112.219,Musafer Villa ( Villa Erlin )
485,Natal,BR,77.22,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
489,Akyab,MM,78.49,broken clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
490,Nelson Bay,AU,84.25,clear sky,-32.7167,152.15,Mantra Nelson Bay
493,Saint-Georges,GD,78.48,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
501,Moree,AU,81.07,clear sky,-29.4667,149.85,Molika Springs Motel
502,Tadine,NC,81.45,overcast clouds,-21.55,167.8833,
503,Cidreira,BR,70.95,broken clouds,-30.1811,-50.2056,Hotel Castelo
505,Lao Cai,VN,83.8,overcast clouds,22.4833,103.95,Legend Hotel
506,Kisangani,CD,80.44,overcast clouds,0.5167,25.2,Grand Ramela Hotel
508,Urucara,BR,71.53,overcast clouds,-2.5364,-57.76,Hotel japa
512,Mogadishu,SO,82.0,few clouds,2.0371,45.3438,Aerab hotel
514,Boa Vista,BR,75.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
515,Biloela,AU,81.21,overcast clouds,-24.4167,150.5,Silo Motor Inn Biloela
521,Buluang,PH,81.1,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
523,Panama City,PA,76.17,overcast clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
524,Champerico,GT,76.08,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
528,Rio De Janeiro,BR,82.94,clear sky,-22.9028,-43.2075,Hotel cruz de ouro
530,Jaguey Grande,CU,70.36,moderate rain,22.5269,-81.1286,Barberia hendrix
531,Ghazipur,IN,77.68,clear sky,25.5833,83.5667,Hotel Shyam
532,Marawi,PH,74.25,light rain,7.9986,124.2928,Haula Hometown
536,Te Anau,NZ,77.86,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
